PDBchain   len  method   resol   rfac  freerfac
5GQIA      247  XRAY       1.3  0.144  0.169
6FF1A       69  XRAY       1.3  0.144  0.172
6STLA      298  XRAY       1.3  0.145  0.183
6FMBA       98  XRAY       1.3  0.145  0.176
3WUZA      120  XRAY       1.3  0.146  0.178
2XKIA      110  XRAY       1.3  0.147  0.177
1GK9B      557  XRAY       1.3  0.148  0.169
4QC6A      179  XRAY       1.3  0.148  0.166
3GWKC       98  XRAY       1.3  0.148  0.188
1JCDB       52  XRAY       1.3  0.149  0.209
2V6KA      214  XRAY       1.3  0.151  0.165
2X9ZA      262  XRAY       1.3  0.152  0.178
3UFFA       65  XRAY       1.3  0.152  0.182
6T1QA      172  XRAY       1.3  0.153  0.201
3JTMA      351  XRAY       1.3  0.154  0.178
1Z6MA      175  XRAY       1.3  0.157  0.187
1TJYA      316  XRAY       1.3  0.158  0.172
2MHRA      118  XRAY       1.3  0.158  NA   
1T6UA      117  XRAY       1.3  0.158  0.201
7FD1A      106  XRAY       1.3  0.158  NA   
6B29B       59  XRAY       1.3  0.158  0.189
4FZOA       82  XRAY       1.3   0.16  0.176
5IZ3A      316  XRAY       1.3  0.161  0.191
2J6BA      109  XRAY       1.3  0.161  0.192
4CGOA      411  XRAY       1.3  0.163  0.196
4G1XA      395  XRAY       1.3  0.163  0.186
3H63A      315  XRAY       1.3  0.164  0.191
4KEMA      390  XRAY       1.3  0.166  0.186
2IZXB       41  XRAY       1.3  0.166  0.194
5XA4A      184  XRAY       1.3  0.169  0.183
1DBFA      127  XRAY       1.3  0.169  0.235
6I0AA       77  XRAY       1.3   0.17  0.191
5ZXEA      130  XRAY       1.3  0.172  0.201
4QBOA       92  XRAY       1.3  0.172   0.18
3NO0A      276  XRAY       1.3  0.173  0.189
5YH4A      179  XRAY       1.3  0.175  0.188
3D3BJ       87  XRAY       1.3  0.175  0.204
2NLVA      112  XRAY       1.3  0.176  0.195
3BBBA      151  XRAY       1.3  0.177   0.22
3BQPA       80  XRAY       1.3  0.177  0.234
6FDGA      155  XRAY       1.3  0.179  0.198
6TGKC      105  XRAY       1.3  0.179  0.207
3B0TA      254  XRAY       1.3   0.18  0.199
1YG9A      330  XRAY       1.3  0.181  0.212
2IMFA      203  XRAY       1.3  0.182  0.208
4AC1X      283  XRAY       1.3  0.185  0.202
5TEGA      160  XRAY       1.3  0.191   0.21
6HB9A      129  XRAY       1.3  0.191  0.213
5Z42A      102  XRAY       1.3  0.191  0.204
5Y4ZA      440  XRAY       1.3  0.193  0.216
6TG6A      116  XRAY       1.3  0.193  0.201
2ECUA      149  XRAY       1.3  0.197  0.216
1UCDA      190  XRAY       1.3    0.2  0.203
1V70A      105  XRAY       1.3  0.204  0.204
2GECB      139  XRAY       1.3  0.207  0.246
2PV2A      103  XRAY       1.3  0.208  0.227
2QT7B       91  XRAY       1.3  0.222  0.242
5DZOA      107  XRAY     1.301  0.157  0.176
4NQGA      197  XRAY     1.301  0.162   0.19
6BSCA       57  XRAY     1.303  0.158  0.184
5F5NA      289  XRAY     1.304  0.145  0.166
6NSVB      130  XRAY     1.305  0.215  0.243
6JV7A       77  XRAY     1.309  0.199  0.251
2XQQB       89  XRAY      1.31  0.124  0.156
5BOWA      151  XRAY      1.31  0.139   0.16
7KD4A      431  XRAY     1.312  0.152  0.196
6DOSA      135  XRAY     1.318  0.155  0.171
1GXMB      332  XRAY      1.32  0.132  0.162
5AD1A      290  XRAY      1.32  0.142  0.181
1E7LA      157  XRAY      1.32  0.145  0.186
7THHA      131  XRAY      1.32  0.147  0.191
5XDHA       86  XRAY      1.32  0.156  0.175
6EQSD      275  XRAY      1.32  0.161  0.209
5B08B      104  XRAY     1.325  0.198  0.215
2Y88A      244  XRAY      1.33   0.14  0.184
6HA4A       55  XRAY      1.33  0.186  0.217
6VANA      144  XRAY      1.33  0.192  0.222
4PQDA      105  XRAY     1.332  0.171  0.186
5KTNA      304  XRAY      1.34  0.124  0.155
5EJ8A      556  XRAY      1.34  0.134  0.164
6CTZA      297  XRAY      1.34  0.147  0.171
4PHRA      277  XRAY      1.34  0.149  0.188
7B5JA      115  XRAY      1.34  0.149  0.176
3TOWA      152  XRAY      1.34  0.166  0.193
4L5EA       46  XRAY      1.34  0.176  0.206
6DS9A       93  XRAY      1.34   0.18  0.186
3LHCA      100  XRAY      1.34  0.199  0.221
1UTGA       70  XRAY      1.34   0.23  NA   
4CW4A      639  XRAY     1.349  0.148  0.177
3WX7A      402  XRAY     1.349  0.175  0.198
6E1XC      176  XRAY      1.35  0.125  0.151
4J5QA      146  XRAY      1.35  0.132  0.161
7B7QA      629  XRAY      1.35  0.133  0.158
7AVHA      167  XRAY      1.35  0.136   0.17
2YNYA      106  XRAY      1.35  0.136  0.198
2Z51A      154  XRAY      1.35  0.137  0.173
5HWAA      259  XRAY      1.35  0.138   0.17
4WHSB      238  XRAY      1.35  0.138  0.167
5HD6A      175  XRAY      1.35  0.138   0.17
2GKEA      274  XRAY      1.35  0.139  0.168
6FC1B       64  XRAY      1.35  0.139  0.168
3S9XA      159  XRAY      1.35   0.14  0.172
4IX3B      350  XRAY      1.35  0.143  0.174
6SUMA      335  XRAY      1.35  0.146  0.176
6ZRWA      126  XRAY      1.35  0.147  0.176
5NUEB      332  XRAY      1.35  0.148   0.18
6P2NA      748  XRAY      1.35   0.15   0.18
1LK2B       99  XRAY      1.35   0.15  0.164
3I10A      278  XRAY      1.35  0.151  0.172
6TCBA       94  XRAY      1.35  0.151  0.165
2I0TH      122  XRAY      1.35  0.153  0.175
6UQVA      287  XRAY      1.35  0.155  0.177
7ERAB      207  XRAY      1.35  0.155  0.174
6NPPA      141  XRAY      1.35  0.159  0.184
6ELXA      267  XRAY      1.35  0.161  0.177
1FD3A       41  XRAY      1.35  0.161  0.237
3SBMA      281  XRAY      1.35  0.162  0.174
5EHAA      153  XRAY      1.35  0.163  0.183
4G0XA      147  XRAY      1.35  0.163  0.179
2XDWA      710  XRAY      1.35  0.164  0.186
6EA2A      889  XRAY      1.35  0.167  0.186
2E5FA      325  XRAY      1.35  0.168   0.18
2PY0A      120  XRAY      1.35  0.172  0.197
2Z5WA      136  XRAY      1.35  0.175  0.191
4GOFA       52  XRAY      1.35  0.182  0.198
3LFTA      295  XRAY      1.35  0.183  0.203
2QJWA      176  XRAY      1.35  0.184  0.216
2HALA      212  XRAY      1.35  0.185  0.204
3FGHA       67  XRAY      1.35  0.191  0.214
4RPTA      144  XRAY      1.35  0.192  0.206
2WL1A      191  XRAY      1.35  0.194  0.219
1UKFA      188  XRAY      1.35  0.204  0.222
1YN3A       98  XRAY      1.35  0.218   0.23
2HD9A      145  XRAY      1.35  0.228  0.234
5MAOA       71  XRAY      1.35  0.238  0.249
4QPTA      215  XRAY     1.351   0.17  0.203
4IPUA      137  XRAY     1.351  0.177  0.203
4X1ZA      332  XRAY      1.36  0.109  0.132
4AZ6A      435  XRAY      1.36  0.116   0.14
6HPFA      312  XRAY      1.36  0.123  0.143
3L84A      632  XRAY      1.36  0.133  0.152
3MJOA      296  XRAY      1.36   0.15   0.21
7NMQA      365  XRAY      1.36  0.164  0.199
3B0XA      575  XRAY      1.36  0.172  0.198
6TYYA      146  XRAY      1.36  0.172  0.195
6WESA      158  XRAY      1.36  0.175  0.199
5L74A      151  XRAY      1.36  0.176  0.203
6Z4WA      230  XRAY      1.36  0.177  0.195
5YQWA      532  XRAY      1.36  0.197  0.226
4HA4A      489  XRAY      1.37  0.132  0.163
5Z0UA      626  XRAY      1.37  0.138   0.15
6KSRA      467  XRAY      1.37  0.139  0.161
1OUWC      152  XRAY      1.37  0.153   0.18
3SO6A      137  XRAY      1.37  0.154  0.206
4M5SA       87  XRAY      1.37  0.158  0.187
6IFBB      135  XRAY      1.37  0.159  0.177
7S5AB       76  XRAY      1.37   0.17  0.189
3CJSB       72  XRAY      1.37  0.182  0.206
4MYDA      252  XRAY     1.374   0.13  0.166
5E50A      111  XRAY     1.376  0.138  0.174
6RZYA       70  XRAY     1.379  0.167  0.203
4BOJC      344  XRAY     1.379  0.172  0.191
4BQNA      312  XRAY      1.38  0.118  0.155
7BX9A      168  XRAY      1.38  0.132  0.151
4Q56A      101  XRAY      1.38  0.138  0.168
6R5JC       68  XRAY      1.38  0.144  0.171
5N20A      123  XRAY      1.38    0.2  0.222
3TODA      335  XRAY      1.38  0.202  0.236
6W0VA      125  XRAY     1.381   0.18  0.212
6W0VB       82  XRAY     1.381   0.18  0.212
4EYZA      246  XRAY     1.383  0.127  0.152
5W3RA      114  XRAY     1.386  0.145  0.168
4ZG8A      426  XRAY      1.39  0.112  0.148
2Y24A      383  XRAY      1.39  0.122  0.169
4B7HA      515  XRAY      1.39  0.132  0.157
5QIVA      225  XRAY      1.39  0.139  0.184
3C8YA      574  XRAY      1.39   0.14  0.194
6XZLA      373  XRAY      1.39  0.146  0.179
6SREA      484  XRAY      1.39   0.15  0.172
6VVNA      123  XRAY      1.39  0.168  0.186
4TZHA      190  XRAY      1.39  0.171  0.194
4HFQA      203  XRAY      1.39  0.174  0.196
5WQ2A      182  XRAY      1.39  0.176  0.199
3ZVSB      160  XRAY     1.396  0.144  0.164
4P6AA      114  XRAY     1.398  0.144  0.169
6K39B      152  XRAY     1.398  0.168  0.192
5KB3A      230  XRAY     1.399   0.14   0.17
4AVSA      204  XRAY     1.399  0.144   0.17
5B7GA      249  XRAY     1.399  0.149  0.164
6FOPA      717  XRAY       1.4  0.109  0.133
5A12A      242  XRAY       1.4   0.12  0.154
2BKXA      242  XRAY       1.4  0.122  0.165
6YTZA      351  XRAY       1.4  0.124  0.166
1QNRA      344  XRAY       1.4  0.124  0.171
5B5LA      207  XRAY       1.4  0.124  0.174
4C5KD      276  XRAY       1.4   0.13  0.165
3A09A      490  XRAY       1.4  0.131  0.208
4JM1A       84  XRAY       1.4  0.131  0.168
1Q7LB       88  XRAY       1.4  0.133  0.172
2QPXA      376  XRAY       1.4  0.135  0.162
6KRWA      306  XRAY       1.4  0.135  0.166
6SAVA      438  XRAY       1.4  0.138  0.164
2W7AA      100  XRAY       1.4  0.138  0.185
4WY4C       78  XRAY       1.4  0.138  0.177
4WY4D       65  XRAY       1.4  0.138  0.177
4WY4A       64  XRAY       1.4  0.138  0.177
4WY4B       58  XRAY       1.4  0.138  0.177
6GQZA      174  XRAY       1.4   0.14  0.181
6G3RA      380  XRAY       1.4  0.141   0.18
4DO4B      400  XRAY       1.4  0.143  0.178
4B6GA      283  XRAY       1.4  0.143  0.154
2OZHA      142  XRAY       1.4  0.143  0.155
3IQTA      123  XRAY       1.4  0.143  0.181
6SLDA      307  XRAY       1.4  0.144  0.164
2P8IA      117  XRAY       1.4  0.145  0.173
2RFFA      111  XRAY       1.4  0.147  0.187
2XOEA      119  XRAY       1.4  0.149  0.192
7E56A      336  XRAY       1.4  0.151  0.173
2J5YA       61  XRAY       1.4  0.151  0.199
3RNDA      399  XRAY       1.4  0.152  0.168
2WHLA      294  XRAY       1.4  0.152  0.188
6PT8A      350  XRAY       1.4  0.154  0.175
3IISM      151  XRAY       1.4  0.154  0.187
3GO5A      285  XRAY       1.4  0.155  0.175
2BJKA      516  XRAY       1.4  0.156   0.17
3E2DA      502  XRAY       1.4  0.156  0.166
3LASA      166  XRAY       1.4  0.156   0.18
5IXHB      161  XRAY       1.4  0.158  0.183
4LXQB      274  XRAY       1.4  0.159  0.178
3DB7A      127  XRAY       1.4  0.162  0.198
2HQ0A      388  XRAY       1.4  0.163  0.201
3B50A      310  XRAY       1.4  0.163  0.201
4L0NA       51  XRAY       1.4  0.163  0.207
2HIYD      183  XRAY       1.4  0.164  0.194
6G8YA       92  XRAY       1.4  0.165   0.21
3DQPA      219  XRAY       1.4  0.166  0.167
6KMJA      112  XRAY       1.4  0.166  0.188
6NZSA      587  XRAY       1.4  0.168  0.182
4QHQA      241  XRAY       1.4  0.168  0.195
2HOXB      427  XRAY       1.4  0.169  0.205
3NWPA      233  XRAY       1.4  0.169  0.186
2OXGA      108  XRAY       1.4   0.17  0.194
2CXNA      557  XRAY       1.4  0.172  0.188
3U3GA      140  XRAY       1.4  0.173  0.192
4Y2MA       65  XRAY       1.4  0.178  0.198
3H0OA      240  XRAY       1.4  0.179  0.199
4QI3A      208  XRAY       1.4  0.179  0.228
3HF5B      116  XRAY       1.4  0.179  0.208
5NRMA      141  XRAY       1.4   0.18  0.205
6RRAA      257  XRAY       1.4  0.181  0.202
1SVFA       64  XRAY       1.4  0.181  0.202
1S2OA      244  XRAY       1.4  0.182    0.2
5ONNA      138  XRAY       1.4  0.183  0.199
4ORLA      110  XRAY       1.4  0.183  0.208
6LJEA      101  XRAY       1.4  0.183  0.189
1KTNA      250  XRAY       1.4  0.186  0.205
2QFAB       62  XRAY       1.4  0.186  0.202
3B8ZA      217  XRAY       1.4  0.187  0.214
5MTEA      137  XRAY       1.4  0.188  0.203
1EW4A      106  XRAY       1.4  0.188  0.213
3VUBA      101  XRAY       1.4  0.188  0.217
1G5AA      628  XRAY       1.4  0.189  0.204
1JF3A      147  XRAY       1.4  0.189  0.215
4HGHA      455  XRAY       1.4   0.19  0.204
5ML3B      149  XRAY       1.4   0.19  0.203
1K7JA      206  XRAY       1.4  0.195  0.203
1N13B      113  XRAY       1.4  0.196  0.215
4FP5D       98  XRAY       1.4  0.196  0.211
1YGEA      839  XRAY       1.4  0.197  0.243
2XZ2A       66  XRAY       1.4  0.201  0.245
3CO1A      132  XRAY       1.4  0.202  0.234
1NYCA      111  XRAY       1.4  0.202  0.226
1G8AA      227  XRAY       1.4  0.203  0.218
5H3VA      103  XRAY       1.4  0.203  0.249
3BH4A      483  XRAY       1.4  0.206  0.219
1NG6A      148  XRAY       1.4   0.21  0.247
2E1HB      235  XRAY       1.4  0.214   0.23
1G6CB      227  XRAY       1.4  0.215  0.237
6M9MA      207  XRAY     1.401  0.138  0.173
5ZHOA      162  XRAY     1.401  0.143  0.174
4ZV0B       94  XRAY     1.401  0.147  0.164
5JDAA      359  XRAY     1.401  0.171  0.184
5V0MA       98  XRAY     1.407  0.174  0.206
1QH4A      380  XRAY      1.41  0.137  0.188
3IOGA      227  XRAY      1.41  0.144  0.155
1TVNA      293  XRAY      1.41   0.15  0.177
4LUKA      189  XRAY      1.41  0.153  0.214
4YL1A      148  XRAY      1.41  0.163  0.175
5HEEA      262  XRAY      1.41  0.164  0.186
3LZQB      159  XRAY      1.41  0.169  0.208
6TJQBBB    497  XRAY      1.41  0.179  0.205
1XSZA      356  XRAY      1.41  0.202  0.225
3G4EA      297  XRAY      1.42  0.136  0.191
3MAOA      105  XRAY      1.42  0.142   0.17
6PNVA      411  XRAY      1.42  0.164  0.194
7MPRA      206  XRAY      1.42  0.165  0.181
4M7XA      273  XRAY      1.42  0.172  0.194
6XL7A      119  XRAY      1.42   0.18  0.193
4MIYA      339  XRAY      1.42  0.187  0.207
2PQXA      245  XRAY      1.42  0.188  0.202
7EXSA      372  XRAY      1.42  0.192  0.217
2HYVA      308  XRAY      1.42  0.212  0.223
6B9XB      126  XRAY      1.42  0.212  0.237
1TGRA       52  XRAY      1.42  0.213  0.224
5KDZA      393  XRAY     1.424  0.137  0.177
3ZPYA      248  XRAY      1.43  0.162  0.205
6C7EA      342  XRAY      1.43  0.176  0.201
3MQHC      192  XRAY      1.43  0.176  0.206
6KT1O      246  XRAY      1.43  0.177  0.208
1V05A       96  XRAY      1.43  0.188  0.205
4N2PA      143  XRAY     1.435  0.143  0.179
6JQWA      352  XRAY     1.437  0.153  0.177
5VSNA      169  XRAY     1.439  0.175  0.193
7R66A      166  XRAY      1.44  0.136  0.166
5J8NA      258  XRAY      1.44  0.148  0.171
6YUNB      135  XRAY      1.44   0.15  0.189
3GZBA      154  XRAY      1.44  0.152  0.174
7KD7A      204  XRAY      1.44  0.163  0.183
2QJLA       99  XRAY      1.44  0.168  0.198
5V8QA      249  XRAY      1.44  0.169  0.205
2PR7A      137  XRAY      1.44   0.17  0.199
7DMAB       91  XRAY      1.44  0.175  0.202
5HA0A      156  XRAY     1.441  0.161  0.188
6MFEA      259  XRAY     1.444  0.167   0.21
4MAXA      123  XRAY     1.444  0.174  0.194
4JNUA       40  XRAY     1.445  0.186  0.218
5MCTA      200  XRAY     1.446  0.147  0.189
5N1PA      206  XRAY     1.448  0.162   0.18
4L6DA      335  XRAY     1.449  0.147  0.168
4EO7A      144  XRAY     1.449   0.17  0.208
4F2EA       98  XRAY     1.449   0.18    0.2
5L9AA      321  XRAY      1.45  0.103  0.156
5OLTA      383  XRAY      1.45  0.128  0.157
5KDIA      211  XRAY      1.45  0.133  0.177
3ZK9A      278  XRAY      1.45   0.14  0.165
6FCHA      178  XRAY      1.45  0.142  0.175
3E0XA      245  XRAY      1.45  0.145  0.185
4Y88A      108  XRAY      1.45  0.147   0.18
3G16A      156  XRAY      1.45  0.149  0.167
6VRRA      127  XRAY      1.45  0.152  0.183
1RCQA      357  XRAY      1.45  0.153  0.206
4L2IB      263  XRAY      1.45  0.153  0.208
3IMKA      158  XRAY      1.45  0.154  0.177
6Z0MB       50  XRAY      1.45  0.155  0.207
5FVNA      342  XRAY      1.45  0.156  0.183
1W1HB      151  XRAY      1.45  0.157  0.206
2CYGA      312  XRAY      1.45  0.158  0.179
7FB7A      155  XRAY      1.45  0.158  0.173
3ZZRA       95  XRAY      1.45  0.161  0.196
3UUEA      279  XRAY      1.45  0.162  0.186
1QQFA      277  XRAY      1.45  0.164  0.217
2F5TX      233  XRAY      1.45  0.164  0.195
3BDIA      207  XRAY      1.45  0.164  0.189
7D3DA      139  XRAY      1.45  0.164  0.189
7NZDAAA     63  XRAY      1.45  0.164  0.228
3U2UA      263  XRAY      1.45  0.165  0.193
1UKUA      102  XRAY      1.45  0.165  0.194
6BD0A      300  XRAY      1.45  0.166   0.19
5C04A      153  XRAY      1.45  0.167  0.198
6SDPA      362  XRAY      1.45  0.168  0.188
2Q0LA      311  XRAY      1.45  0.168  0.193
1X54A      434  XRAY      1.45  0.169  0.192
4Z3GA      198  XRAY      1.45   0.17  0.189
3F14A      112  XRAY      1.45  0.171  0.181
2ODIA      238  XRAY      1.45  0.175  0.199
7R65A      229  XRAY      1.45  0.177  0.198
3N1SJ      119  XRAY      1.45  0.179  0.209
1O9RA      162  XRAY      1.45   0.18    0.2
3GA3A      133  XRAY      1.45   0.18  0.204
1GVDA       52  XRAY      1.45   0.18  0.195
5CSDD      159  XRAY      1.45  0.182  0.204
2ERFA      209  XRAY      1.45  0.186  0.217
2B0AA      186  XRAY      1.45  0.186  0.218
6JCCA       97  XRAY      1.45  0.187  0.203
5G51A      157  XRAY      1.45   0.19  0.212
1XLQA      106  XRAY      1.45  0.195  0.201
3U62A      253  XRAY      1.45  0.196  0.201
1I88A      389  XRAY      1.45  0.197  0.221
1N7SC       79  XRAY      1.45  0.201  0.224
5VJTA      196  XRAY      1.45  0.203  0.236
1C1KA      217  XRAY      1.45  0.205  0.253
1YBKA       52  XRAY      1.45  0.211  0.226
1XYIA       66  XRAY      1.45  0.216  0.255
2EGVA      229  XRAY      1.45  0.218  0.245
4IRXA      296  XRAY     1.451  0.166  0.189
3T94A      270  XRAY     1.452   0.17  0.185
3LAEA       81  XRAY     1.453  0.167  0.222
6C9XA      666  XRAY     1.457  0.143  0.162
4ZQXA      237  XRAY      1.46   0.11  0.153
4S36A       90  XRAY      1.46  0.151  0.188
1KT5A      175  XRAY      1.46  0.161  0.246
5ICUA      102  XRAY      1.46  0.166  0.191
1HNJA      317  XRAY      1.46  0.169  0.193
5HHEA       93  XRAY      1.46  0.173  0.208
1FX2A      235  XRAY      1.46  0.178  0.205
1TKEA      224  XRAY      1.46   0.18  0.207
5MGWA      406  XRAY      1.46  0.185  0.205
1JIGA      146  XRAY      1.46  0.186  0.206
2X5OA      439  XRAY      1.46  0.187  0.217
4YSLA      294  XRAY     1.462  0.177  0.204
5LS4A      206  XRAY     1.469  0.172  0.197
5L03A      158  XRAY     1.469   0.18    0.2
5HH9A      390  XRAY      1.47  0.135  0.165
2HZCA       87  XRAY      1.47  0.137  0.226
2QMOA      220  XRAY      1.47   0.15  0.179
5KY2A      355  XRAY      1.47  0.154  0.175
6SMSA      724  XRAY      1.47  0.158  0.198
6EDGA      213  XRAY      1.47  0.178  0.192
3FG9A      156  XRAY      1.47  0.179  0.212
4MTHA      139  XRAY      1.47  0.187   0.21
1RKUA      206  XRAY      1.47  0.191  0.221
3A0SA       96  XRAY      1.47  0.211  0.234
4MAMA      373  XRAY     1.474  0.161  0.177
6J03A      200  XRAY      1.48   0.11   0.14
1GQIA      708  XRAY      1.48  0.133  0.168
3VSVA      638  XRAY      1.48   0.15  0.168
6YKFA      309  XRAY      1.48   0.17  0.188
2DT8A      280  XRAY      1.48  0.173  0.197
3SEBA      238  XRAY      1.48  0.182  NA   
1B67A       68  XRAY      1.48  0.193  0.266
1WPUA      147  XRAY      1.48  0.214  0.238
4MB4A      528  XRAY     1.481  0.134   0.17
5TVOB       59  XRAY     1.481  0.159    0.2
6QHGA      119  XRAY     1.483  0.154  0.194
4BGUA      303  XRAY     1.487  0.157  0.179
3FW9A      495  XRAY     1.489  0.173  0.195
2OVJA      201  XRAY      1.49  0.153  0.176
2W40B      503  XRAY      1.49  0.171   0.21
4EOCA      239  XRAY      1.49  0.181  0.207
3SXEA      293  XRAY      1.49  0.192  0.219
5EIPA      134  XRAY      1.49  0.195   0.23
2Y7LA      312  XRAY      1.49  0.198  0.224
5FMIA      162  XRAY     1.491  0.187  0.211
5Z99A      485  XRAY     1.494   0.17  0.194
6OD3A       62  XRAY     1.494  0.222  0.237
7CZJA       97  XRAY     1.495  0.187   0.21
5KHTA       47  XRAY     1.496  0.209  0.249
6JEBA      469  XRAY     1.498  0.114  0.141
4Y9IA      114  XRAY     1.498  0.157  0.199
5MPWA      115  XRAY     1.499  0.159  0.192
6UBLA      211  XRAY     1.499  0.163  0.185
4TZ1A      549  XRAY       1.5  0.101  0.124
5FYOA      298  XRAY       1.5  0.127  0.167
1HD2A      161  XRAY       1.5  0.133  0.165
1KDGB      546  XRAY       1.5  0.135  0.169
3RJUA      351  XRAY       1.5   0.14   0.17
1BRTA      277  XRAY       1.5   0.14  0.164
4XMQB      254  XRAY       1.5  0.141  0.189
5GTUA      186  XRAY       1.5  0.141  0.186
5HWQA      418  XRAY       1.5  0.142  0.168
1OCYA      198  XRAY       1.5  0.143  0.152
4Z67A      309  XRAY       1.5  0.144  0.174
4W79A      202  XRAY       1.5  0.145   0.17
3T9GA      196  XRAY       1.5  0.145  0.178
4EADA      440  XRAY       1.5  0.147  0.192
6N6AA      181  XRAY       1.5  0.147   0.16
4HJLA      446  XRAY       1.5  0.148  0.177
6VG5A       81  XRAY       1.5  0.148  0.194
1G6SA      427  XRAY       1.5  0.149  0.171
5TJZA      245  XRAY       1.5  0.149  0.169
3IGSB      232  XRAY       1.5  0.149  0.177
6D0HA      160  XRAY       1.5  0.149  0.175
6D0HB       72  XRAY       1.5  0.149  0.175
5B1AA      514  XRAY       1.5   0.15  0.172
7EVFAA     373  XRAY       1.5   0.15  0.165
5HMMB      271  XRAY       1.5   0.15  0.197
7BFYA      131  XRAY       1.5   0.15  0.178
5B1AI       73  XRAY       1.5   0.15  0.172
3H8GA      497  XRAY       1.5  0.151  0.173
2FGRA      332  XRAY       1.5  0.151   0.18
2WKKA      150  XRAY       1.5  0.151  0.186
2PYXA      526  XRAY       1.5  0.153  0.181
2AL1A      436  XRAY       1.5  0.153  0.217
7B2TA      342  XRAY       1.5  0.153  0.184
3QB8A      197  XRAY       1.5  0.153  0.168
3OMDA      145  XRAY       1.5  0.153  0.186
2MCMA      112  XRAY       1.5  0.153  NA   
4CMFA      322  XRAY       1.5  0.154   0.18
3IV4A      112  XRAY       1.5  0.154   0.19
5DWAA      278  XRAY       1.5  0.155  0.185
4QM6A      171  XRAY       1.5  0.155  0.175
4TMXB      345  XRAY       1.5  0.156  0.182
1NF9A      207  XRAY       1.5  0.156  0.225
2RKQA      169  XRAY       1.5  0.156  0.173
3W7TA      760  XRAY       1.5  0.157   0.18
4BNDB      253  XRAY       1.5  0.157   0.18
1UX7A      120  XRAY       1.5  0.157  0.202
1P3CA      215  XRAY       1.5  0.158  0.184
2GWMA      200  XRAY       1.5  0.158  0.203
2AD6B       69  XRAY       1.5  0.158  0.177
2BWRA      401  XRAY       1.5  0.159  0.182
3CH0A      272  XRAY       1.5   0.16  0.189
4UQWA      163  XRAY       1.5   0.16  0.181
3SZ3A      341  XRAY       1.5  0.161  0.179
3VRDA      174  XRAY       1.5  0.161  0.195
2QNLA      162  XRAY       1.5  0.161  0.185
1DJ0A      264  XRAY       1.5  0.162  0.221
3CQLA      243  XRAY       1.5  0.162  0.187
2HSJD      214  XRAY       1.5  0.162  0.193
3SNSA      120  XRAY       1.5  0.162  0.183
2OFKB      183  XRAY       1.5  0.163  0.196
5HB5B      140  XRAY       1.5  0.163  0.189
6XPJC      117  XRAY       1.5  0.163  0.184
4ZMKA       71  XRAY       1.5  0.163  0.201
6Z9KB      249  XRAY       1.5  0.165  0.201
6C8CA      119  XRAY       1.5  0.165  0.191
5GMDA      325  XRAY       1.5  0.166  0.192
3I07B      148  XRAY       1.5  0.166  0.185
6XZUB      148  XRAY       1.5  0.167    0.2
5U1HC      123  XRAY       1.5  0.167    0.2
1NKGA      508  XRAY       1.5  0.168  0.186
3TRDA      208  XRAY       1.5  0.168    0.2
2BKMA      128  XRAY       1.5  0.168  0.194
4R03A      109  XRAY       1.5  0.168  0.188
3HLZB      269  XRAY       1.5  0.171  0.195
6SYGA      135  XRAY       1.5  0.171  0.184
5FPZA      110  XRAY       1.5  0.171  0.205
4E15B      303  XRAY       1.5  0.172  0.198
6UAVA      259  XRAY       1.5  0.172    0.2
6OZEA      246  XRAY       1.5  0.173  0.191
1ISUA       62  XRAY       1.5  0.173  NA   
5TW9A       63  XRAY       1.5  0.174  0.203
1K20A      310  XRAY       1.5  0.175  0.188
3DT7A      624  XRAY       1.5  0.176  0.209
4TR6A      380  XRAY       1.5  0.177  0.204
2V6AI      140  XRAY       1.5  0.177  0.192
2XRHA      100  XRAY       1.5  0.177   0.21
4EQSA      437  XRAY       1.5  0.178  0.201
3SH4A      195  XRAY       1.5  0.179  0.213
2ARCB      164  XRAY       1.5  0.179  0.232
2CYJA      118  XRAY       1.5  0.179  0.201
1V5IB       76  XRAY       1.5   0.18  0.192
3SHGB       61  XRAY       1.5  0.181  0.215
4K7ZA      467  XRAY       1.5  0.182  0.206
3EDNA      299  XRAY       1.5  0.182  0.219
2ZDPA      110  XRAY       1.5  0.182  0.201
1N7OA      721  XRAY       1.5  0.183  0.211
4F2LA       61  XRAY       1.5  0.183  0.212
4IJ5A      211  XRAY       1.5  0.184  0.197
2CD7A      131  XRAY       1.5  0.185  0.218
1L7AA      318  XRAY       1.5  0.186  0.189
4A6QA      143  XRAY       1.5  0.187  0.211
2Z0JA      237  XRAY       1.5  0.188  0.211
1WHIA      122  XRAY       1.5  0.189  0.255
1KOEA      172  XRAY       1.5   0.19  0.224
1DQZA      280  XRAY       1.5  0.191  0.185
1O3YA      166  XRAY       1.5  0.191  0.211
6E5XA      127  XRAY       1.5  0.191   0.23
1DFMA      223  XRAY       1.5  0.192  0.224
3ZYPA      218  XRAY       1.5  0.192  0.217
2V4VA      129  XRAY       1.5  0.192  0.222
1DP7P       76  XRAY       1.5  0.192  0.228
2X49A      333  XRAY       1.5  0.193  0.225
1PVMB      184  XRAY       1.5  0.194  0.228
3C8CA      240  XRAY       1.5  0.195  0.235
4RRIA      136  XRAY       1.5  0.195  0.262
6NQ6B      144  XRAY       1.5  0.196  0.224
4YFUD      580  XRAY       1.5  0.197   0.23
2E54A      385  XRAY       1.5  0.197  0.213
